City,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Windspeed
manjacaze,0,1601001218,88,-24.71,33.88,288.03,3.94
komsomolskiy,0,1601001164,58,40.43,71.72,286.15,3.1
gamba,98,1601001076,83,-2.65,10,297.23,3.03
yakeshi,0,1601001218,51,49.28,120.73,286.55,2.1
bara,71,1601001218,90,10.37,10.73,296.6,4.39
inhambane,0,1601001114,73,-23.86,35.38,291.86,4.02
caravelas,17,1601001241,83,-17.71,-39.25,295.72,2.73
amantea,0,1601001279,93,39.13,16.07,289.15,3.1
doka,8,1601001279,95,13.52,35.77,293.96,3.07
linares,0,1601001279,77,-35.85,-71.6,285.22,0.11
acopiara,0,1601001279,86,-6.1,-39.45,293.4,1.36
aykhal,6,1601001279,65,66,111.5,278.15,5
bulawayo,0,1601001280,61,-20.15,28.58,287.84,2.27
ust-nera,9,1601001280,48,64.57,143.2,282.57,1
nelson bay,17,1601001211,22,-32.72,152.15,298.15,11.3
muzhi,99,1601001280,85,65.37,64.67,276.72,2.89
high rock,100,1601001280,81,26.62,-78.28,300.9,8.11
garut,98,1601001280,47,-7.2,107.89,301.93,1.91
lucapa,99,1601001281,88,-8.42,20.74,292.73,1.12
susehri,66,1601001281,55,40.16,38.09,287.59,0.95
batagay,0,1601001281,48,67.63,134.63,283.41,1.47
conway,90,1601001227,93,35.09,-92.44,292.15,1.42
lavrentiya,96,1601001281,80,65.58,-171,275.34,8.34
kochi,75,1601001281,94,9.94,76.26,299.15,1
poum,31,1601001282,69,-20.23,164.02,296.68,4.26
nome,1,1601001282,52,64.5,-165.41,279.15,6.2
kendari,100,1601001282,52,-3.94,122.5,304.05,1.61
amnat charoen,62,1601001282,69,15.86,104.63,304.26,3.14
imeni poliny osipenko,100,1601001282,63,52.42,136.49,287.63,2.36
namalenga,46,1601001283,94,-10.95,39.1,292.02,0.95
dhule,25,1601001283,73,20.9,74.78,300.5,1.75
balsas,75,1601001284,32,-7.53,-46.04,304.13,2.37
ambanja,49,1601001284,66,-13.68,48.45,293.44,1.86
pokhara,100,1601001171,79,28.23,83.98,295.32,0.96
grande prairie,40,1601001080,57,55.17,-118.8,284.15,4.1
viedma,92,1601001284,72,-40.81,-63,287.45,3.6
male,75,1601001112,83,4.17,73.51,301.15,5.7
novopokrovka,96,1601001285,62,49.84,36.55,286.15,5
nyurba,0,1601001285,50,63.28,118.33,283.65,4.63
tokur,100,1601001285,93,53.13,132.9,281.91,1.03
topchikha,75,1601001286,93,52.82,83.12,278.15,4
ciudad bolivar,100,1601001286,65,8.12,-63.55,300.8,3.66
ouesso,96,1601001286,97,1.61,16.05,294.32,0.95
namibe,73,1601001287,86,-15.2,12.15,290.37,1.8
nagina,50,1601001287,85,29.45,78.45,298.62,2.22
maragogi,32,1601001287,86,-9.01,-35.22,296.16,4.89
manadhoo,97,1601001287,79,5.77,73.38,300.49,5.28
northam,3,1601001287,80,51.03,-4.22,284.26,4.02
cap malheureux,9,1601001287,74,-19.98,57.61,292.04,1.34
santarem,10,1601001288,83,-2.44,-54.71,302.15,3.1
alice springs,70,1601001288,14,-23.7,133.88,298.15,3.6
mozarlandia,100,1601001288,41,-14.74,-50.57,301.35,0.41
teya,100,1601001288,83,60.38,92.63,279.95,1.62
tugbong,96,1601001289,66,11.02,124.6,303.6,2.97
aromashevo,5,1601001289,87,56.86,68.64,277.34,5.38
filadelfia,75,1601001318,88,39.95,-75.16,292.04,3.1
sungaipenuh,8,1601001349,67,-2.08,101.38,298.61,1.22
carnot,100,1601001349,93,4.94,15.87,294.32,0.7
taseyevo,68,1601001349,69,57.22,94.9,283.13,2.3
nakhon thai,40,1601001350,88,17.1,100.84,303.71,2.6
wairoa,0,1601001350,30,-39.03,177.37,295.93,4.92
moranbah,10,1601001350,29,-22,148.05,303.72,4.85
nurota,0,1601001350,46,40.56,65.69,285.15,4.1
uttaradit,40,1601001350,88,17.67,100.5,299.15,1
paciran,80,1601001350,52,-6.88,112.38,304.78,0.77
nishihara,75,1601001351,74,26.18,127.76,303.15,3.6
aktas,90,1601001351,86,49.78,72.96,277.15,4
zakamensk,92,1601001351,51,50.37,103.29,287.72,5.8
panzhihua,99,1601001320,74,26.59,101.71,294.82,0.99
nortelandia,29,1601001351,45,-14.45,-56.8,300.81,1.1
luanda,75,1601001189,88,-8.84,13.23,295.15,2.6
carora,100,1601001351,65,10.18,-70.08,299.5,4.03
ilave,0,1601001352,64,-16.08,-69.67,278.99,1.63
solhan,1,1601001352,62,38.96,41.03,285.82,1.18
warrnambool,92,1601001352,96,-38.38,142.48,281.48,0.45
znamenskoye,100,1601001352,84,57.13,73.83,279.8,4.81
majene,0,1601001352,67,-3.54,118.97,302.4,4.16
benin,76,1601001352,97,9.5,2.25,293.59,1.7
americus,90,1601001354,88,32.07,-84.23,296.15,4.1
eureka,52,1601001354,91,40.8,-124.16,289.82,1.11
union hidalgo,100,1601001354,87,16.47,-94.83,299.06,1.87
vanavara,0,1601001354,63,60.34,102.28,284.52,4.51
mountain home,40,1601001354,34,43.13,-115.69,293.15,6.2
labuan,20,1601001354,70,5.28,115.24,304.15,2.1
yeppoon,40,1601001217,45,-23.13,150.73,303.15,4.1
aklavik,90,1601001355,93,68.22,-135.01,277.15,4.1
constitucion,0,1601001355,85,-35.33,-72.42,283.51,0.78
kutum,100,1601001124,32,14.2,24.67,298.93,5.31
teahupoo,40,1601001355,70,-17.83,-149.27,302.15,3.6
jertih,20,1601001355,88,5.73,102.49,300.15,1.5
istok,13,1601001356,81,42.78,20.49,288.15,0.5
muslyumovo,0,1601001356,78,55.3,53.19,279.98,1.87
alvand,0,1601001356,76,36.32,49.17,283.56,1.05
college,90,1601001356,80,64.86,-147.8,278.15,2.6
turan,20,1601001356,59,16.07,108.22,306.15,0.5
gravdal,82,1601001356,85,68.12,13.5,279.34,6.15
skjervoy,100,1601001357,74,70.03,20.97,279.81,7.14
axim,75,1601001357,92,4.87,-2.24,296.99,2.93
the valley,20,1601001357,79,18.22,-63.06,302.15,2.6
san ramon,1,1601001111,49,37.78,-121.98,295.93,6.2
